paper_id,date,year,phase_1931plus,explicit_she_title,women_implicit,education_topic,editorial,female_creator,headline_len,sentiment_score,sentiment_label,cluster_id
吉长日报,1918-11-13,1918,0,0,0,0,0,0,24,0.5023332454660289,neutral,
吉长日报,1918-11-19,1918,0,0,0,0,0,0,14,0.11429872024408516,negative,
越州公报,1918-12-03,1918,0,0,0,0,0,0,7,0.5833999777155432,positive,
越州公报,1918-12-06,1918,0,0,0,0,0,0,7,0.6780799735529764,positive,
越州公报,1918-12-20,1918,0,0,0,0,0,0,26,0.2945132863440747,negative,
越州公报,1918-12-31,1918,0,0,0,0,0,0,7,0.44767845850986676,negative,
吉长日报,1919-01-14,1919,0,0,0,0,0,0,6,0.13734613767695258,negative,
吉长日报,1919-01-15,1919,0,0,0,0,0,0,7,0.7133637834191219,positive,
晨报,1919-01-20,1919,0,0,0,0,0,0,6,0.2792996544582279,negative,
吉长日报,1919-01-29,1919,0,0,0,0,0,0,7,0.4737672181921908,neutral,
吉长日报,1919-02-18,1919,0,0,0,0,0,0,7,0.23524959230908526,negative,
京报,1919-02-19,1919,0,0,0,0,0,0,12,0.6963106872035528,positive,
吉长日报,1919-02-20,1919,0,0,0,0,0,0,41,0.4223500730743103,negative,
吉长日报,1919-02-21,1919,0,0,0,0,0,0,9,0.4960253045369134,neutral,
吉长日报,1919-02-27,1919,0,0,0,0,0,0,7,0.6267661609444332,positive,
吉长日报,1919-02-27,1919,0,0,0,0,0,0,4,0.505746216935643,neutral,
吉长日报,1919-03-19,1919,0,0,0,0,0,0,12,0.5965088223490027,positive,
吉长日报,1919-03-21,1919,0,0,0,0,0,0,6,0.6214829877715887,positive,
京报,1919-03-23,1919,0,0,0,0,0,0,7,0.9822499112629656,positive,
吉长日报,1919-03-27,1919,0,0,0,0,0,0,7,0.4273976839386089,negative,
吉长日报,1919-03-27,1919,0,0,0,0,0,0,6,0.16849244223532023,negative,
吉长日报,1919-04-02,1919,0,0,0,0,0,0,6,0.17493930735268415,negative,
吉长日报,1919-04-02,1919,0,0,0,0,0,0,6,0.7791041936175332,positive,
吉长日报,1919-04-10,1919,0,0,0,0,0,0,4,0.18436106424907606,negative,
吉长日报,1919-04-12,1919,0,0,0,0,0,0,4,0.9672710667334817,positive,
京报,1919-04-15,1919,0,0,0,0,0,0,12,0.9272900037826839,positive,
晨报,1919-04-15,1919,0,0,0,0,0,0,11,0.021818991996346737,negative,
吉长日报,1919-04-18,1919,0,0,0,0,0,0,6,0.07041242959162863,negative,
晨报,1919-04-19,1919,0,0,0,0,0,0,8,0.9553237937840867,positive,
吉长日报,1919-04-22,1919,0,0,0,0,0,0,4,0.35191544186640744,negative,
吉长日报,1919-04-26,1919,0,0,0,0,0,0,7,0.42179339431661,negative,
吉长日报,1919-05-07,1919,0,0,0,0,0,0,7,0.9889990149283077,positive,
吉长日报,1919-05-13,1919,0,0,0,0,0,0,4,0.41356184453996037,negative,
京报,1919-05-13,1919,0,0,0,0,0,0,6,0.9493217844994263,positive,
晨报,1919-05-20,1919,0,0,0,1,0,0,12,0.966045446443134,positive,
京报,1919-05-28,1919,0,0,0,0,0,0,9,0.9799603146327077,positive,
京报,1919-06-01,1919,0,0,0,0,0,0,5,0.8038866656421327,positive,
晨报,1919-06-09,1919,0,0,0,0,0,0,6,0.2308283396275872,negative,
京报,1919-06-11,1919,0,0,0,0,0,0,2,0.5,neutral,
晨报,1919-06-15,1919,0,0,0,0,0,0,13,0.3798690503916399,negative,
晨报,1919-06-21,1919,0,0,0,0,0,0,13,0.9771990318680494,positive,
京报,1919-06-22,1919,0,0,0,0,0,0,7,0.9529613861228524,positive,
京报,1919-06-25,1919,0,0,0,0,0,0,10,0.7766364344782298,positive,
吉长日报,1919-07-22,1919,0,0,0,0,0,0,6,0.18898980548797895,negative,
吉长日报,1919-07-29,1919,0,0,0,0,0,0,7,0.31322470302963,negative,
吉长日报,1919-08-10,1919,0,0,0,0,0,0,6,0.35402362251345976,negative,
吉长日报,1919-08-13,1919,0,0,0,0,0,0,8,0.44767845850986676,negative,
吉长日报,1919-08-13,1919,0,0,0,0,0,0,7,0.9951144554762166,positive,
吉长日报,1919-08-17,1919,0,0,0,0,0,0,5,0.3252099590420918,negative,
吉长日报,1919-08-19,1919,0,0,0,0,0,0,6,0.5615329937166595,positive,
吉长日报,1919-08-21,1919,0,0,0,0,0,0,16,0.8054594634321686,positive,
吉长日报,1919-08-27,1919,0,0,0,0,0,0,10,0.2712271196584428,negative,
吉长日报,1919-09-03,1919,0,0,0,0,0,0,41,0.9974333838546365,positive,
吉长日报,1919-09-12,1919,0,0,0,0,0,0,4,0.5294947133879224,neutral,
吉长日报,1919-10-05,1919,0,0,0,0,0,0,4,0.505746216935643,neutral,
多闻日报,1919-10-23,1919,0,0,0,0,0,0,5,0.5602040027308545,positive,
吉长日报,1919-10-24,1919,0,0,0,0,0,0,5,0.7600481789960747,positive,
多闻日报,1919-10-28,1919,0,0,0,0,0,0,7,0.3540364269474604,negative,
并州新报,1919-10-28,1919,0,0,0,1,0,0,15,0.8526519734453313,positive,
吉长日报,1919-11-05,1919,0,0,0,0,0,0,4,0.3819994564781911,negative,
吉长日报,1919-11-09,1919,0,0,0,0,0,0,4,0.9666408569469563,positive,
吉长日报,1919-11-13,1919,0,0,0,0,0,0,5,0.19487465609111554,negative,
吉长日报,1919-11-16,1919,0,0,0,0,0,0,4,0.505746216935643,neutral,
